station,latitude,longitude,altitude,annee,pression,vitesse_vent,temperature,point_de_rosee,humidite,nebulosite,precipitations,nb_jours_pluie,nuages_bas,nuages_moyens,nuages_hauts
Brest,48.444167,-4.412,94,2013,1016.3712067840835,4.772804957599478,11.273732876712351,8.208153946510134,82.64921722113503,72.13365949119374,1243.4,157,Stratocumulus,nuages moyens absents,nuages hauts invisibles
Brest,48.444167,-4.412,94,2014,1013.9685283757339,4.5913326810176125,12.264144814090042,9.018434442270081,81.85998043052838,70.89688519243313,1376.9,167,Cumulus,nuages moyens absents,nuages hauts invisibles
Brest,48.444167,-4.412,94,2015,1019.0896406827571,4.907904435746902,11.961604696673213,8.520053272450555,80.71515003261578,73.98611656200941,1169.2,145,Stratocumulus,nuages moyens absents,nuages haut absents
Brest,48.444167,-4.412,94,2016,1017.3420006071646,4.34223534131321,11.631390948911463,8.545692926533114,82.63171675774134,88.3125,1103.4,147,nuages bas absents,nuages moyens absents,nuages haut absents
Le Puy,45.0745,3.764,833,2013,NA,2.593215266875981,8.270671441653608,3.733307169021477,75.4793956043956,94.52052469135802,694.3000000000001,92,nuages bas absents,nuages moyens absents,nuages haut absents
Le Puy,45.0745,3.764,833,2014,NA,2.5080675146771036,9.63056914546643,4.932116764514047,74.93481735159817,95.92024885255307,736,95,nuages bas absents,nuages moyens absents,nuages haut absents
Le Puy,45.0745,3.764,833,2015,NA,2.521694933681235,9.743134920634944,4.261908567079822,72.59538486627528,96.45047539149888,453.1,61,nuages bas absents,nuages moyens absents,nuages haut absents
Le Puy,45.0745,3.764,833,2016,NA,2.4799418856795907,9.15669669962705,4.7426148191517274,76.48859398039725,96.26325520833333,707.3,92,nuages bas absents,nuages moyens absents,nuages haut absents
Nancy,48.581,5.959833,336,2013,1016.5700567514677,3.4729677103718197,9.610720482713656,5.855051532941966,80.01893020221787,96.82169552669552,940.4,116,nuages bas absents,nuages moyens absents,nuages haut absents
Nancy,48.581,5.959833,336,2014,1015.4245499021526,3.2876272015655577,11.342480430528399,7.37847358121333,79.32451076320939,95.31888758782202,687.7,105,nuages bas absents,nuages moyens absents,nuages haut absents
Nancy,48.581,5.959833,336,2015,1019.4638327446363,3.483984497645212,11.123809632827513,6.32581730769233,76.2312216553288,95.58889674681754,584.1,89,nuages bas absents,nuages moyens absents,nuages haut absents
Nancy,48.581,5.959833,336,2016,1017.7803909705959,3.2801258782201406,10.33488225344785,6.696609094457478,80.65998568826437,96.36206624605678,774,122,nuages bas absents,nuages moyens absents,nuages haut absents
Nice,43.648833,7.209,2,2013,1013.7098679060665,3.872519569471624,15.843194716242683,9.383228962818027,67.00699608610567,49.919520547945204,984.2,72,Stratocumulus,nuages moyens absents,Cirrus
Nice,43.648833,7.209,2,2014,1013.9047994129158,3.905366927592955,16.69864970645795,10.408424657534269,67.71125244618395,52.717013888888886,1236.9,68,Stratocumulus,nuages moyens absents,Cirrus
Nice,43.648833,7.209,2,2015,1017.0460692541857,3.7977598390954554,16.79893455098937,9.826358447488607,64.77662535333768,51.736874236874236,547.2,45,nuages bas absents,nuages moyens absents,nuages haut absents
Nice,43.648833,7.209,2,2016,1015.6052708387544,4.041170309653916,16.60836000520429,9.873380930696527,65.91432366206956,46.356172478098706,472.8,49,nuages bas absents,nuages moyens absents,nuages haut absents
Toulouse,43.621,1.378833,151,2013,1017.3234491193738,3.872641878669276,13.36501467710374,8.38622309197654,74.39633072407045,70.86975212002609,722.3,109,Stratocumulus,nuages moyens absents,nuages hauts invisibles
Toulouse,43.621,1.378833,151,2014,1016.2418346379648,3.8015508806262233,14.65443248532292,9.637152641878693,74.49148727984344,69.89780821917809,675.2,95,Cumulus,nuages moyens absents,Cirrus
Toulouse,43.621,1.378833,151,2015,1020.3407333115895,3.751737877799522,14.574327027614721,9.00369319417267,73.1565938247445,73.0355319007826,494.1,71,nuages bas absents,nuages moyens absents,nuages haut absents
Toulouse,43.621,1.378833,151,2016,1018.5247885766329,3.6863859614884205,14.312166601613345,8.602189045016935,71.69474802671525,95.55466971300305,548.3,79,nuages bas absents,nuages moyens absents,nuages haut absents
